date,day,pillar,post,views,link_clicks,sales,notes
2026-08-10,1,myth_busting,D1 myth_busting: Willpower isn't broken. Your diet is.,,,,
2026-08-10,1,relatable_story,"D1 relatable_story: POV: you've ""started over"" on Monday 47 times.",,,,
2026-08-10,1,quick_tip,"D1 quick_tip: Breakfast is just ""peel, cut, blend."" That's it.",,,,
2026-08-11,2,myth_busting,D2 myth_busting: Cheat meals aren't the problem. Guilt is.,,,,
2026-08-11,2,quick_tip,"D2 quick_tip: 3 rules. That's the whole ""food science"" part.",,,,
2026-08-11,2,social_proof,"D2 social_proof: Built by a trainer, not a trend.",,,,
2026-08-12,3,relatable_story,"D3 relatable_story: POV: it's Tuesday and you already ""ruined"" your diet.",,,,
2026-08-12,3,quick_tip,"D3 quick_tip: If 4 days feels impossible, start with 2.",,,,
2026-08-12,3,myth_busting,"D3 myth_busting: Food combining rules aren't about ""clean eating.""",,,,
2026-08-13,4,quick_tip,D4 quick_tip: Your planned indulgent meal has one rule: sit down.,,,,
2026-08-13,4,social_proof,D4 social_proof: Why this works when nothing else did.,,,,
2026-08-13,4,relatable_story,"D4 relatable_story: I stopped calling Friday dinner a ""cheat meal.""",,,,
2026-08-14,5,myth_busting,D5 myth_busting: You do not need to earn your Friday dinner.,,,,
2026-08-14,5,social_proof,D5 social_proof: $10 and 18 pages. That's the whole guide.,,,,
2026-08-14,5,quick_tip,D5 quick_tip: It's Friday. Here's how to actually enjoy dinner tonight.,,,,
2026-08-15,6,relatable_story,D6 relatable_story: Saturday used to be my worst food day. Now it's my easiest.,,,,
2026-08-15,6,social_proof,"D6 social_proof: ""I don't need every meal to be perfect.""",,,,
2026-08-15,6,quick_tip,"D6 quick_tip: Shop for 4 days at a time, not 7.",,,,
2026-08-16,7,social_proof,D7 social_proof: One week of DMs about this guide -- here's the pattern.,,,,
2026-08-16,7,myth_busting,"D7 myth_busting: You don't need Monday to ""start over.""",,,,
2026-08-16,7,relatable_story,"D7 relatable_story: The diet that finally ""clicked"" wasn't stricter. It was s...",,,,
